year,era,population,housing_units,total_res_trillion_btu,electricity_res_trillion_btu,natgas_res_trillion_btu,petroleum_res_trillion_btu,total_mmbtu_per_household,electricity_mmbtu_per_household,total_btu_per_capita,electricity_btu_per_capita,sales_million_kwh,price_cents_per_kwh
1960,Pre-Crisis Growth,179323175,58326000.0,8719196.0,687393.0,3211778.0,2227541.0,149490.7245482289,11785.36158831396,48622806282.56777,3833263603.5470595,,
1961,Pre-Crisis Growth,182992000,59349800.0,8952494.0,731686.0,3362278.0,2293262.0,150842.86720427027,12328.365049250377,48922870945.17793,3998458949.025094,,
1962,Pre-Crisis Growth,185771000,60373600.0,9415838.0,794320.0,3600313.0,2398962.0,155959.52535545337,13156.744007314455,50685187677.30162,4275801928.180394,,
1963,Pre-Crisis Growth,188483000,61397400.0,9629007.0,855568.0,3695298.0,2414599.0,156830.85928720108,13934.922325701087,51086872556.145645,4539231654.844203,,
1964,Pre-Crisis Growth,191141000,62421200.0,9853461.0,927525.0,3899561.0,2325975.0,157854.39882603986,14859.134396647292,51550745261.35157,4852569569.061583,,
1965,Pre-Crisis Growth,193526000,63445000.0,10215417.0,992935.0,4019289.0,2432422.0,161012.1680195445,15650.327054929467,52785760052.91279,5130757624.298544,,
1966,Pre-Crisis Growth,195576000,64490400.0,10738741.0,1081223.0,4260480.0,2422338.0,166516.89243670375,16765.642638284146,54908276066.59304,5528403280.566123,,
1967,Pre-Crisis Growth,197457000,65535800.0,11149599.0,1160469.0,4439768.0,2527827.0,170129.89846770774,17707.405723284068,56465959677.29683,5877071970.099819,,
1968,Pre-Crisis Growth,199399000,66581200.0,11836331.0,1301916.0,4578382.0,2655224.0,177772.8698191081,19553.80798183271,59360031895.84702,6529200246.741458,,
1969,Pre-Crisis Growth,201385000,67626600.0,12588232.0,1456024.0,4864353.0,2705506.0,186143.20400552446,21530.344568557342,62508290091.119,7230051890.657199,,
1970,Pre-Crisis Growth,203211926,68672000.0,13139730.0,1590983.0,4952555.0,2725574.0,191340.4298695247,23167.85589468779,64660230620.51978,7829181245.986518,,
1971,Pre-Crisis Growth,206827000,70470000.0,13569414.0,1704403.0,5092382.0,2748505.0,192555.89612601107,24186.22108698737,65607556073.43335,8240718088.063937,,
1972,Pre-Crisis Growth,209284000,72268000.0,14216788.0,1837735.0,5256905.0,2868224.0,196723.14163945316,25429.443183705098,67930601479.32952,8781058274.880068,,
1973,Energy Crisis Era,211357000,74066000.0,14272814.0,1976337.0,5000504.0,2801069.0,192703.99373531714,26683.457996921665,67529412321.3331,9350705204.937618,,
1974,Energy Crisis Era,213342000,75864000.0,13928651.0,1972763.0,4898047.0,2554524.0,183600.27153854267,26003.941263313296,65287899241.59331,9246950905.11948,,
1975,Energy Crisis Era,215465000,77662000.0,14100295.0,2006735.0,5024138.0,2479439.0,181559.77183178387,25839.342278076794,65441231754.57731,9313507994.337828,,
1976,Energy Crisis Era,217563000,79811800.0,14763294.0,2069215.0,5148694.0,2703974.0,184976.33182060797,25926.17883571101,67857558500.29646,9510877309.101273,,
1977,Energy Crisis Era,219760000,81961600.0,15141623.0,2201555.0,4914366.0,2681960.0,184740.45162612735,26860.81042829813,68900723516.56352,10017996905.715326,,
1978,Energy Crisis Era,222095000,84111400.0,15484818.0,2301276.0,4986933.0,2608152.0,184098.92119260886,27359.858473405508,69721596614.06155,10361674058.398434,,
1979,Energy Crisis Era,224567000,86261200.0,15164035.0,2329778.0,5052424.0,2099222.0,175792.07105859875,27008.4116613263,67525660493.30489,10374534103.407892,,
1980,Efficiency Standards Begin,226545805,88411000.0,15059477.0,2448086.0,4855372.0,1734431.0,170334.8791439979,27689.83497528588,66474314101.7332,10806141389.37598,,
1981,Efficiency Standards Begin,229466000,89936800.0,14616227.0,2464367.0,4652074.0,1531454.0,162516.64502183755,27401.09721493315,63696700164.730286,10739573618.749619,,
1982,Efficiency Standards Begin,231664000,91462600.0,14723273.0,2489120.0,4750724.0,1433921.0,160975.88522521773,27214.621058224893,63554427964.63844,10744526555.70136,,
1983,Efficiency Standards Begin,233792000,92988400.0,14559266.0,2562235.0,4514524.0,1353854.0,156570.77656998078,27554.350865269214,62274440528.33288,10959463967.97153,,
1984,Efficiency Standards Begin,235825000,94514200.0,15131333.0,2661673.0,4684963.0,1531080.0,160095.86919214253,28161.62015866399,64163396586.45182,11286644757.765291,,
1985,Efficiency Standards Begin,237924000,96040000.0,15343160.0,2708902.0,4566059.0,1565590.0,159758.01749271137,28205.97667638484,64487651518.97244,11385576906.911451,,
1986,Efficiency Standards Begin,240133000,97284600.0,15218699.0,2794729.0,4432331.0,1540970.0,156434.82113304676,28727.352530616357,63376124897.45266,11638254633.890387,,
1987,Efficiency Standards Begin,242289000,98529200.0,15596688.0,2901600.0,4435733.0,1617027.0,158295.08409689716,29449.13792053523,64372249668.78397,11975780988.819138,,
1988,Efficiency Standards Begin,244499000,99773800.0,16573901.0,3046459.0,4757443.0,1675172.0,166114.7615907182,30533.657132433564,67787193403.654,12460005971.394566,,
1989,Efficiency Standards Begin,246819000,101018400.0,17087710.0,3089650.0,4926458.0,1660749.0,169154.4312719267,30585.02213458142,69231744719.81493,12517877472.96602,,
1990,Efficiency Standards Begin,248709873,102263000.0,16214999.0,3152752.0,4519056.0,1394636.0,158561.73787195762,30829.840704849263,65196442764.45753,12676424791.548183,,
1991,Efficiency Standards Begin,252153000,103410400.0,16680049.0,3259884.0,4683709.0,1381346.0,161299.53080154414,31523.75389709352,66150507826.59734,12928198355.760193,,
1992,Efficiency Standards Begin,255030000,104557800.0,16713518.0,3193423.0,4819689.0,1414557.0,159849.5568958031,30542.17858447672,65535497784.57436,12521754303.415285,,
1993,Efficiency Standards Begin,257783000,105705200.0,17506007.0,3394192.0,5097770.0,1439497.0,165611.59715889097,32109.981344342566,67909858291.66392,13166857395.561382,,
1994,Efficiency Standards Begin,260327000,106852600.0,17448263.0,3440939.0,4981010.0,1408077.0,163292.825817996,32202.669846124474,67024407764.08133,13217756898.055138,,
1995,Digital Age Explosion,262803000,108000000.0,17754173.0,3557015.0,4983520.0,1373597.0,164390.49074074076,32935.32407407407,67556964722.62493,13534910179.86857,,
1996,Digital Age Explosion,265229000,109580928.2,18637804.0,3693530.0,5390535.0,1483339.0,170082.55274114385,33705.95650785882,70270611433.89297,13925815050.390417,,
1997,Digital Age Explosion,267784000,111161856.4,18105720.0,3670903.0,5124955.0,1421966.0,162877.09279385515,33023.04512431658,67613150897.73847,13708447853.49386,,
1998,Digital Age Explosion,270248000,112742784.6,18174547.0,3855932.0,4671034.0,1303868.0,161203.63768272582,34201.142127901636,67251365412.509995,14268124093.425299,,
1999,Digital Age Explosion,272691000,114323712.8,18766405.0,3906478.0,4856823.0,1464736.0,164151.4655216831,34170.32131237781,68819304634.18301,14325657979.177896,,
2000,Digital Age Explosion,281421906,115904641.0,19713563.0,4068627.0,5104047.0,1554054.0,170084.3282021813,35103.227661090816,70049852480.21169,14457392666.511185,,
2001,Digital Age Explosion,284968955,117599128.0,19446709.0,4099882.0,4901935.0,1528836.0,165364.39794009356,34863.200686318014,68241500201.3114,14387118063.439577,1201606.593,8.58
2002,Digital Age Explosion,287625193,119293615.0,20049206.0,4316794.0,5006146.0,1456726.0,168066.04444001467,36186.29546937613,69706014938.68446,15008400185.584578,1265179.869,8.44
