YEAR,STATE,STATE_CODE,FUEL_SOURCE,FUEL_CODE,GENERATION_MWH,TOTAL_MWH,PCT_OF_TOTAL,ENERGY_TYPE
2001,Alabama,AL,Coal,COL,72198.114,120713.388,59.81,Fossil
2002,Alabama,AL,Coal,COL,72041.664,128739.98300000001,55.96,Fossil
2003,Alabama,AL,Coal,COL,76696.391,133452.177,57.47,Fossil
2004,Alabama,AL,Coal,COL,74831.62435,133252.59556,56.16,Fossil
2005,Alabama,AL,Coal,COL,78128.45747,133943.57598,58.33,Fossil
2006,Alabama,AL,Coal,COL,78108.66818,136809.88058,57.09,Fossil
2007,Alabama,AL,Coal,COL,77993.76036,139865.1458,55.76,Fossil
2008,Alabama,AL,Coal,COL,74604.64796,142300.09455,52.43,Fossil
2009,Alabama,AL,Coal,COL,55608.72382,139612.11131,39.83,Fossil
2010,Alabama,AL,Coal,COL,63050.41062,149207.22807,42.26,Fossil
2011,Alabama,AL,Coal,COL,56807.35302,153019.66106,37.12,Fossil
2012,Alabama,AL,Coal,COL,45606.91978,149766.00738,30.45,Fossil
2013,Alabama,AL,Coal,COL,47050.48393,147619.91773000002,31.87,Fossil
2014,Alabama,AL,Coal,COL,47301.62625,146462.66509999998,32.3,Fossil
2015,Alabama,AL,Coal,COL,41410.42949,149103.93475000001,27.77,Fossil
2016,Alabama,AL,Coal,COL,34258.40552,139004.02005,24.65,Fossil
2017,Alabama,AL,Coal,COL,31440.40111,136502.87855,23.03,Fossil
2018,Alabama,AL,Coal,COL,31777.52001,141545.96032,22.45,Fossil
2019,Alabama,AL,Coal,COL,26655.06754,139302.11181,19.13,Fossil
2020,Alabama,AL,Coal,COL,21729.52443,134223.45701,16.19,Fossil
2021,Alabama,AL,Coal,COL,26900.90936,139400.14216,19.3,Fossil
2022,Alabama,AL,Coal,COL,25943.99013,141557.87876,18.33,Fossil
2023,Alabama,AL,Coal,COL,19181.95839,136239.83937,14.08,Fossil
2024,Alabama,AL,Coal,COL,20936.16598,139634.52532000002,14.99,Fossil
2025,Alabama,AL,Coal,COL,21661.51237,138761.39927,15.61,Fossil
2001,Alabama,AL,Natural Gas,NG,9612.682,120713.388,7.96,Fossil
2002,Alabama,AL,Natural Gas,NG,15904.065,128739.98300000001,12.35,Fossil
2003,Alabama,AL,Natural Gas,NG,12243.598,133452.177,9.17,Fossil
2004,Alabama,AL,Natural Gas,NG,15977.01923,133252.59556,11.99,Fossil
2005,Alabama,AL,Natural Gas,NG,13869.45085,133943.57598,10.35,Fossil
2006,Alabama,AL,Natural Gas,NG,19407.2217,136809.88058,14.19,Fossil
2007,Alabama,AL,Natural Gas,NG,23231.77629,139865.1458,16.61,Fossil
2008,Alabama,AL,Natural Gas,NG,22362.91875,142300.09455,15.72,Fossil
2009,Alabama,AL,Natural Gas,NG,31617.08268,139612.11131,22.65,Fossil
2010,Alabama,AL,Natural Gas,NG,39235.01714,149207.22807,26.3,Fossil
2011,Alabama,AL,Natural Gas,NG,47681.05394,153019.66106,31.16,Fossil
2012,Alabama,AL,Natural Gas,NG,55705.00044,149766.00738,37.19,Fossil
2013,Alabama,AL,Natural Gas,NG,46586.38525,147619.91773000002,31.56,Fossil
