year,electricity_res_trillion_btu,natgas_res_trillion_btu,petroleum_res_trillion_btu,total_res_trillion_btu
1960,687393.0,3211778.0,2227541.0,8719196.0
1961,731686.0,3362278.0,2293262.0,8952494.0
1962,794320.0,3600313.0,2398962.0,9415838.0
1963,855568.0,3695298.0,2414599.0,9629007.0
1964,927525.0,3899561.0,2325975.0,9853461.0
1965,992935.0,4019289.0,2432422.0,10215417.0
1966,1081223.0,4260480.0,2422338.0,10738741.0
1967,1160469.0,4439768.0,2527827.0,11149599.0
1968,1301916.0,4578382.0,2655224.0,11836331.0
1969,1456024.0,4864353.0,2705506.0,12588232.0
1970,1590983.0,4952555.0,2725574.0,13139730.0
1971,1704403.0,5092382.0,2748505.0,13569414.0
1972,1837735.0,5256905.0,2868224.0,14216788.0
1973,1976337.0,5000504.0,2801069.0,14272814.0
1974,1972763.0,4898047.0,2554524.0,13928651.0
1975,2006735.0,5024138.0,2479439.0,14100295.0
1976,2069215.0,5148694.0,2703974.0,14763294.0
1977,2201555.0,4914366.0,2681960.0,15141623.0
1978,2301276.0,4986933.0,2608152.0,15484818.0
1979,2329778.0,5052424.0,2099222.0,15164035.0
1980,2448086.0,4855372.0,1734431.0,15059477.0
1981,2464367.0,4652074.0,1531454.0,14616227.0
1982,2489120.0,4750724.0,1433921.0,14723273.0
1983,2562235.0,4514524.0,1353854.0,14559266.0
1984,2661673.0,4684963.0,1531080.0,15131333.0
1985,2708902.0,4566059.0,1565590.0,15343160.0
1986,2794729.0,4432331.0,1540970.0,15218699.0
1987,2901600.0,4435733.0,1617027.0,15596688.0
1988,3046459.0,4757443.0,1675172.0,16573901.0
1989,3089650.0,4926458.0,1660749.0,17087710.0
1990,3152752.0,4519056.0,1394636.0,16214999.0
1991,3259884.0,4683709.0,1381346.0,16680049.0
1992,3193423.0,4819689.0,1414557.0,16713518.0
1993,3394192.0,5097770.0,1439497.0,17506007.0
1994,3440939.0,4981010.0,1408077.0,17448263.0
1995,3557015.0,4983520.0,1373597.0,17754173.0
1996,3693530.0,5390535.0,1483339.0,18637804.0
1997,3670903.0,5124955.0,1421966.0,18105720.0
1998,3855932.0,4671034.0,1303868.0,18174547.0
1999,3906478.0,4856823.0,1464736.0,18766405.0
2000,4068627.0,5104047.0,1554054.0,19713563.0
2001,4099882.0,4901935.0,1528836.0,19446709.0
2002,4316794.0,5006146.0,1456726.0,20049206.0
2003,4353111.0,5223765.0,1546575.0,20343265.0
2004,4408241.0,4992951.0,1519849.0,20328581.0
2005,4637683.0,4957655.0,1450481.0,20844591.0
2006,4611386.0,4482650.0,1221852.0,19839294.0
2007,4750326.0,4848708.0,1249169.0,20773460.0
2008,4710818.0,5017569.0,1324511.0,20849966.0
2009,4656555.0,4899378.0,1157254.0,20179502.0
2010,4932757.0,4887375.0,1120150.0,20978522.0
2011,4854597.0,4817368.0,1033288.0,20268904.0
2012,4689844.0,4252794.0,885039.0,18843521.0
2013,4759099.0,5037081.0,963073.0,19968018.0
2014,4801395.0,5257900.0,1036131.0,20343258.0
2015,4790777.0,4794495.0,1006953.0,19526914.0
2016,4814530.0,4525157.0,877891.0,18953307.0
2017,4703946.0,4592899.0,871086.0,18480303.0
2018,5012546.0,5201735.0,1021686.0,20052839.0
2019,4914266.0,5232460.0,1044100.0,19598900.0
2020,4997232.0,4875710.0,913576.0,18820303.0
2021,5017301.0,4914786.0,971763.0,19033215.0
2022,5149504.0,5174778.0,996592.0,19570724.0
2023,4947486.0,4713330.0,960740.0,18369074.0
2024,5059565.0,4579017.0,931203.0,18424026.0
